Thu May 15 19:54:47 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/run.prof

         1410713 function calls (1379404 primitive calls) in 1.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1028    0.000    0.000    0.025    0.000 inspect.py:3007(from_callable)
1473/1032    0.005    0.000    0.025    0.000 inspect.py:2435(_signature_from_callable)
       31    0.000    0.000    0.025    0.001 __init__.py:132(__getattr__)
2943/2700    0.001    0.000    0.024    0.000 typing.py:373(inner)
        2    0.000    0.000    0.024    0.012 _typing.py:1(<module>)
        2    0.000    0.000    0.023    0.012 array.py:1(<module>)
    10601    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.023    0.023 _cloudpickle_wrapper.py:1(<module>)
        1    0.000    0.000    0.022    0.022 columns.py:1(<module>)
        2    0.000    0.000    0.022    0.011 console.py:1(<module>)
        1    0.000    0.000    0.021    0.021 predict.py:104(main)
        1    0.000    0.000    0.020    0.020 _pickle.py:1(<module>)
        1    0.000    0.000    0.020    0.020 train.py:115(main)
        1    0.000    0.000    0.020    0.020 _logistic.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _minimize.py:1(<module>)
        1    0.000    0.000    0.020    0.020 crackfortran.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _mgc.py:1(<module>)
       10    0.000    0.000    0.018    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.018    0.018 syntax.py:1(<module>)
      258    0.000    0.000    0.018    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.017    0.017 _discrete_distns.py:1(<module>)
    10601    0.016    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.017    0.017 _interpolate.py:1(<module>)
2740/2519    0.004    0.000    0.017    0.000 {built-in method __new__ of type object at 0x100da95f8}
        1    0.000    0.000    0.017    0.017 _linprog_ip.py:1(<module>)
      401    0.002    0.000    0.017    0.000 _util.py:593(getfullargspec_no_self)
        1    0.000    0.000    0.017    0.017 _index_tricks_impl.py:1(<module>)
        2    0.000    0.000    0.016    0.008 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _linprog_util.py:1(<module>)
    81/73    0.000    0.000    0.016    0.000 _param_validation.py:185(wrapper)
        1    0.000    0.000    0.016    0.016 _morestats.py:1(<module>)
        2    0.000    0.000    0.016    0.008 context.py:1(<module>)
     1506    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     5578    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.016    0.016 _remove_redundancy.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _ndimage_api.py:1(<module>)
        1    0.000    0.000    0.015    0.015 interpolative.py:1(<module>)
       24    0.000    0.000    0.015    0.001 _util.py:365(decorator)
        1    0.000    0.000    0.015    0.015 _linprog_highs.py:1(<module>)
     5640    0.015    0.000    0.015    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.015    0.015 _highs_wrapper.py:1(<module>)
 2216/258    0.006    0.000    0.015    0.000 _compiler.py:37(_compile)
       50    0.000    0.000    0.015    0.000 dataclasses.py:1221(wrap)
        1    0.000    0.000    0.015    0.015 defmatrix.py:1(<module>)
       50    0.001    0.000    0.015    0.000 dataclasses.py:884(_process_class)
     1031    0.005    0.000    0.014    0.000 inspect.py:2331(_signature_from_function)
        1    0.000    0.000    0.014    0.014 _classes.py:1(<module>)
        2    0.000    0.000    0.014    0.007 _linalg.py:1(<module>)
        4    0.000    0.000    0.014    0.003 _decorators.py:325(wrapper)
      423    0.001    0.000    0.014    0.000 _docscrape.py:201(_read_to_next_section)
      428    0.000    0.000    0.013    0.000 _docscrape.py:212(_read_sections)
        1    0.000    0.000    0.013    0.013 ssl.py:1(<module>)
        1    0.000    0.000    0.013    0.013 lexer.py:1(<module>)
     2147    0.013    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
