Thu May 15 19:52:35 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/dataset.prof

         497747 function calls (485104 primitive calls) in 0.507 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 algorithms.py:1(<module>)
      766    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
 1034/167    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.007    0.004 datetimelike.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _file_sink.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _decorators.py:325(wrapper)
        1    0.000    0.000    0.007    0.007 generic.py:3797(to_csv)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
        1    0.000    0.000    0.007    0.007 format.py:965(to_csv)
        2    0.000    0.000    0.007    0.003 align.py:1(<module>)
        1    0.000    0.000    0.007    0.007 reduction.py:1(<module>)
        6    0.000    0.000    0.007    0.001 common.py:1(<module>)
      447    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 csvs.py:246(save)
        1    0.000    0.000    0.007    0.007 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _logger.py:243(add)
        1    0.000    0.000    0.006    0.006 csvs.py:272(_save)
        1    0.000    0.000    0.006    0.006 csvs.py:305(_save_body)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:143(__init__)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:169(_get_lib_dirs)
        1    0.000    0.000    0.006    0.006 _better_exceptions.py:173(<setcomp>)
    37/36    0.000    0.000    0.006    0.000 sysconfig.py:621(get_path)
        1    0.002    0.002    0.006    0.006 csvs.py:315(_save_chunk)
    37/36    0.000    0.000    0.006    0.000 sysconfig.py:609(get_paths)
        1    0.000    0.000    0.006    0.006 constrain.py:1(<module>)
        7    0.000    0.000    0.006    0.001 utils.py:1(<module>)
    37/36    0.000    0.000    0.006    0.000 sysconfig.py:261(_expand_vars)
9896/9861    0.001    0.000    0.006    0.000 {built-in method builtins.hasattr}
     6168    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
     1348    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       16    0.000    0.000    0.006    0.000 dataclasses.py:1221(wrap)
       16    0.000    0.000    0.006    0.000 dataclasses.py:884(_process_class)
        2    0.000    0.000    0.006    0.003 dtypes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 readers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 testing.py:1(<module>)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
        1    0.000    0.000    0.005    0.005 jupyter.py:1(<module>)
     1699    0.002    0.000    0.005    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.005    0.005 segment.py:1(<module>)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
        3    0.000    0.000    0.005    0.002 ops.py:1(<module>)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
        1    0.000    0.000    0.005    0.005 parser_block.py:1(<module>)
        1    0.000    0.000    0.004    0.004 take.py:1(<module>)
     6688    0.002    0.000    0.004    0.000 typing.py:1320(__setattr__)
        2    0.000    0.000    0.004    0.002 scope.py:1(<module>)
        1    0.000    0.000    0.004    0.004 frame.py:509(DataFrame)
     1434    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.004    0.004 parse_link_destination.py:1(<module>)
     1036    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.004    0.004 string_.py:1(<module>)
      356    0.000    0.000    0.004    0.000 __init__.py:178(sub)
        5    0.000    0.000    0.004    0.001 base.py:7770(get_values_for_csv)
        2    0.000    0.000    0.004    0.002 managers.py:317(apply)
        1    0.000    0.000    0.004    0.004 frame.py:1400(_get_values_for_csv)
        1    0.000    0.000    0.004    0.004 managers.py:459(get_values_for_csv)
        3    0.000    0.000    0.004    0.001 blocks.py:775(get_values_for_csv)
        2    0.000    0.000    0.004    0.002 construction.py:1(<module>)
     1118    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
1200/1071    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x100d795f8}
        1    0.000    0.000    0.004    0.004 dataset.py:14(load_data)
        1    0.000    0.000    0.004    0.004 readers.py:868(read_csv)
      166    0.000    0.000    0.004    0.000 typing.py:723(Optional)
      760    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.004    0.004 completion.py:1(<module>)
       16    0.000    0.000    0.004    0.000 dataclasses.py:1204(dataclass)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
       11    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.004    0.004 readers.py:583(_read)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.004    0.004 generic.py:244(NDFrame)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      270    0.000    0.000    0.004    0.000 _decorators.py:387(<listcomp>)
        3    0.000    0.000    0.003    0.001 numeric.py:1(<module>)
        2    0.000    0.000    0.003    0.002 categorical.py:1(<module>)
51337/51334    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 asserters.py:1(<module>)
      353    0.003    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      107    0.000    0.000    0.003    0.000 typing.py:506(__getitem__)
       82    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
        2    0.000    0.000    0.003    0.002 _base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 array_ops.py:1(<module>)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
       60    0.000    0.000    0.003    0.000 typing.py:1397(__or__)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
        2    0.000    0.000    0.003    0.002 table.py:1(<module>)
     6168    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      918    0.001    0.000    0.003    0.000 typing.py:251(_collect_parameters)
       55    0.000    0.000    0.003    0.000 dataclasses.py:413(_create_fn)
      799    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.003    0.002 style.py:1(<module>)
        1    0.000    0.000    0.003    0.003 emphasis.py:1(<module>)
        2    0.000    0.000    0.003    0.001 interval.py:1(<module>)
       37    0.003    0.000    0.003    0.000 sysconfig.py:253(_extend_dict)
      888    0.001    0.000    0.003    0.000 typing.py:1279(__init__)
       46    0.001    0.000    0.003    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
